,3m5y,3m10y,2y10y,2y20y,5y10y,10y30y,10yTrea30yFRM
1995-08-25,0.6299999999999999,0.8799999999999999,0.47999999999999954,0.8999999999999995,0.25,0.33999999999999986,1.5
1995-09-01,0.5499999999999998,0.7699999999999996,0.4399999999999995,0.8899999999999997,0.21999999999999975,0.39000000000000057,1.54
1995-09-08,0.5200000000000005,0.7200000000000006,0.39000000000000057,0.8100000000000005,0.20000000000000018,0.35999999999999943,1.3899999999999997
1995-09-15,0.4500000000000002,0.6500000000000004,0.40000000000000036,0.8700000000000001,0.20000000000000018,0.35999999999999943,1.4899999999999993
1995-09-22,0.71,0.9000000000000004,0.40000000000000036,0.8500000000000005,0.1900000000000004,0.33999999999999986,1.3200000000000003
1995-09-29,0.6099999999999994,0.7699999999999996,0.33999999999999986,0.7699999999999996,0.16000000000000014,0.3200000000000003,1.4500000000000002
1995-10-06,0.41999999999999993,0.5899999999999999,0.3299999999999992,0.7799999999999994,0.16999999999999993,0.3700000000000001,1.5100000000000007
1995-10-13,0.34999999999999964,0.5199999999999996,0.2999999999999998,0.7000000000000002,0.16999999999999993,0.33000000000000007,1.5300000000000002
1995-10-20,0.47000000000000064,0.6100000000000003,0.3200000000000003,0.7000000000000002,0.13999999999999968,0.3099999999999996,1.3399999999999999
1995-10-27,0.41999999999999993,0.6399999999999997,0.41000000000000014,0.7600000000000007,0.21999999999999975,0.2999999999999998,1.4000000000000004
1995-11-03,0.23000000000000043,0.47000000000000064,0.4500000000000002,0.8399999999999999,0.2400000000000002,0.33999999999999986,1.5
1995-11-09,0.16999999999999993,0.41999999999999993,0.47999999999999954,0.8599999999999994,0.25,0.3200000000000003,1.4000000000000004
1995-11-17,0.15000000000000036,0.41000000000000014,0.45999999999999996,0.8700000000000001,0.2599999999999998,0.3100000000000005,1.4299999999999997
1995-11-24,0.21999999999999975,0.4299999999999997,0.41999999999999993,0.8700000000000001,0.20999999999999996,0.33999999999999986,1.4399999999999995
