Date,Dow_Jones,Gold,Real_Estate,SP500,Materials,Energy,Financials,Industrials,Technology,Staples,Utilities,Healthcare,Discretionary,NASDAQ
2013-05-29,1.1694620377612126,0.4617171186787832,1.9135682570629453,1.0223684098467993,1.5152778007153176,2.110576536178854,0.9443031892149256,1.2501586653796113,0.7058836410254019,0.9176293031538315,1.0380298959588916,1.117078297861132,1.3880933892806477,1.2459120775491501
2013-05-30,1.1711632469193352,0.5164537583544089,1.9040255151290582,1.0260598782962347,1.5184634825036798,2.1082705385274236,0.9563455140513883,1.2561096448739295,0.7121807511390708,0.9137236742407097,1.0406745819948522,1.1242444516123449,1.3880933892806477,1.2527700132389028
2013-05-31,1.1580999567078747,0.4978244477720817,1.8918021811649717,1.0117077083811403,1.5028308713505933,2.087589546573009,0.9399842293616507,1.2465530943547938,0.7027941252021612,0.8951007010361783,1.0346077924217587,1.1022889669171763,1.3768180456882089,1.2426333488950205
2013-06-03,1.166107841233148,0.5269769962659685,1.8942773021012163,1.0172144500451756,1.5077934327301925,2.097278988048684,0.9409925418473517,1.2513776860752566,0.7078477669431107,0.9060869322762996,1.036730614049873,1.1076933700173501,1.3812728343745437,1.245370748109328
2013-06-04,1.1617088015517987,0.5098491213103463,1.882659437145191,1.0124073856076774,1.5065590054890483,2.0894045514787294,0.9319291617693742,1.2458906727593897,0.7034479350886689,0.9063340160384913,1.0332882655974533,1.1014910045135924,1.3777249316386557,1.2395675851738213
2013-06-05,1.1463433691341987,0.5128654203847393,1.8719336213548532,0.9984063088435556,1.4843091889652889,2.0777482644808245,0.9156690508637296,1.2277295420158407,0.6936626886799347,0.8942352312028814,1.0245185744847691,1.0869288384528546,1.3611681664758368,1.2268602628896454
2013-06-06,1.1526396266433252,0.525227481615374,1.8906471283049366,1.007459701087695,1.490883297104168,2.0852762370763567,0.9296151582435194,1.234051434935889,0.6958939162990808,0.898484249254512,1.0363147557879049,1.1014951479020003,1.3716677575155274,1.2334956299913107
2013-06-07,1.1664159147615076,0.48199313427223534,1.8900642600176565,1.0201802705402756,1.5001771134490653,2.097854158118034,0.9469355693690277,1.2528972163217327,0.7051180060857164,0.9109286270217325,1.0424090841754854,1.1106502241673943,1.3899406838258799,1.246687587243939
2013-06-10,1.1656937389263702,0.4854426120092906,1.8813112226860902,1.0201802705402756,1.504905925812836,2.095025736631248,0.947436585999846,1.249928678939745,0.7073241272211154,0.9109286270217325,1.0421455473511148,1.1120935023721918,1.3869496449446523,1.2479991353344462
2013-06-11,1.1590580933210188,0.4524415626050319,1.8660061994751769,1.0098646520543841,1.4910344722658087,2.0798552790065212,0.9309199284218357,1.24076686393279,0.6969468742439057,0.908470062774957,1.0355597471215363,1.107976017619878,1.3770676331810163,1.2373996805195464
2013-06-12,1.1501956702637512,0.4602624374245815,1.8513594262387696,1.0015876052510087,1.4860104760765804,2.0737190128059244,0.9202330298158811,1.2338323664721,0.690273481644122,0.9035416712246342,1.0257481625118907,1.0978453636639345,1.3660183662923626,1.2267739745738435
2013-06-13,1.162874141474862,0.4701388543204522,1.881846447809741,1.0167961381300494,1.504440170415838,2.0904779284828736,0.9392657975397035,1.2484969936785268,0.7017904001493899,0.9139426636769299,1.0420845642326415,1.1133005154436435,1.384760333220765,1.2399870613553647
2013-06-14,1.155626043957012,0.4523255170876791,1.8843485768584654,1.0105237023311657,1.497251584360385,2.080811164028321,0.9261411183635594,1.2418442045020377,0.6941998971810883,0.9114918767122054,1.0434020288492407,1.1116551779266732,1.3815763651311481,1.2336596969729992
2013-06-17,1.1630595898401284,0.4548147611337129,1.8856701165581962,1.0182450162653678,1.5057406341003097,2.0952026428448303,0.9358597760507498,1.2496963378972863,0.7034415523884106,0.920336909957343,1.0465597275369707,1.1139214764588137,1.3870777339818328,1.2420047599278712
2013-06-18,1.1717570309895293,0.42608120376864433,1.8872828951017735,1.0261511361166424,1.5101973476681116,2.1008770685591154,0.9424455664849939,1.2613830917780395,0.7113354134292085,0.9239903255614005,1.0533803852618464,1.1223489523922958,1.397314034650188,1.2507095450455281
2013-06-19,1.1586283167216558,0.3943060183315731,1.857272430603771,1.0123336694935197,1.5025559969402054,2.091676877163504,0.9288571263312616,1.2462072676493101,0.699743966957798,0.9040921804486449,1.0304520392104295,1.106450148605684,1.3859584563658145,1.2395154134285602
2013-06-20,1.1353966720039033,0.320371721328333,1.818184138119868,0.9875563649706607,1.4767238914879943,2.062458277173639,0.9074285870327766,1.2234384948746997,0.677556752778074,0.8738866042982077,1.002185163871411,1.080766804472989,1.3598052372798533,1.2166994109576574
2013-06-21,1.13847951604602,0.3346283506575809,1.8299637408285832,0.9907660241961935,1.4733326154953188,2.0641756242351286,0.9083183475507045,1.224053342716965,0.6715298305970504,0.8870947272938502,1.0152435058322664,1.09063259847714,1.3617349555600944,1.2145030711370346
2013-06-24,1.1286644988063697,0.2884437343653147,1.8235993945805244,0.9781297817236303,1.4573493764489414,2.0493360435098498,0.8905359936073419,1.207268248646389,0.6594028262935884,0.8830367463511032,1.0144221531483668,1.0821742351945578,1.3526504094114098,1.2036340592271753
2013-06-25,1.135637447114238,0.2846543436080917,1.8420339473947451,0.9877441544188956,1.4633745990986338,2.0621916575582127,0.9091730209017889,1.2185691955585665,0.6676969758759165,0.8845648700017804,1.0275694639253792,1.087292526649605,1.3616347535659616,1.2118038404618074
2013-06-26,1.1457529374617461,0.22379205872199837,1.8569911347128902,0.9976449905650102,1.4680623102118004,2.0683453114965746,0.9191049345427819,1.2283174146874503,0.6736202519194107,0.8949893715564289,1.0402754744687845,1.1017208532001852,1.3741733583958908,1.220265910312971
2013-06-27,1.1532133222609398,0.24944449940001534,1.8748400463066743,1.003514821445405,1.4675439037393114,2.0702564610736234,0.9320447135080482,1.2382061219997034,0.6785271302489818,0.8995187789361722,1.0424111578197872,1.105276607568767,1.3827878355821006,1.2278602427146628
2013-06-28,1.1442069748372616,0.3240387101294071,1.870493502272053,0.9994181141635364,1.4620977522061716,2.0660597545354213,0.92591305284012,1.2323778192760928,0.674295196226442,0.8932561463252044,1.0448089450101776,1.0975653233504432,1.3863463596493537,1.2282688111255426
2013-07-01,1.1500634641917382,0.3403718808121665,1.8652251519575374,1.005277240781035,1.467834545144593,2.073211535697708,0.9289979798278754,1.242461842212133,0.6795257063672883,0.9005666821335783,1.0323188276867463,1.1002952720600432,1.393261421537361,1.2374482690655633
2013-07-02,1.146784490984669,0.29457040642385757,1.876877341066823,1.0043479667941644,1.464723119250071,2.0753673875892615,0.9300231505196666,1.23178172838473,0.6811517581047538,0.9018177697039724,1.032049516722756,1.0982005898425173,1.395022539513174,1.2371308746653105
2013-07-03,1.150879533465105,0.3126756724960015,1.8725391702428777,1.0047814271217816,1.4649833198040005,2.0747350286481416,0.926950860659688,1.232251431357673,0.6869960412528616,0.8998185924127046,1.0282812749633505,1.0967312250855095,1.3995925947873302,1.2401220844932828
