,1-Month Treasury Yield,3-Month Treasury Yield,2-Year Treasury Yield,5-Year Treasury Yield,10-Year Treasury Yield,20-Year Treasury Yield,30-Year Treasury Yield,15-Year Mortgage Rate,30-Year Mortgage Rate
2004-07-29,1.29,1.45,2.75,3.8,4.6,5.34,5.37,5.49,6.08
2004-08-05,1.34,1.48,2.64,3.64,4.43,5.18,5.22,5.4,5.99
2004-08-12,1.31,1.43,2.52,3.47,4.27,5.05,5.17,5.24,5.85
2004-08-19,1.35,1.48,2.43,3.39,4.22,5.03,5.14,5.19,5.81
2004-08-26,1.4,1.55,2.48,3.42,4.22,5.03,5.1,5.21,5.82
2004-09-02,1.46,1.6,2.46,3.4,4.2,4.99,5.07,5.15,5.77
2004-09-09,1.57,1.64,2.5,3.41,4.22,4.99,5.07,5.22,5.83
2004-09-16,1.55,1.67,2.44,3.29,4.08,4.86,4.95,5.13,5.75
2004-09-23,1.53,1.72,2.57,3.3,4.02,4.78,4.86,5.1,5.7
2004-09-30,1.47,1.71,2.63,3.38,4.14,4.89,4.97,5.12,5.72
2004-10-07,1.56,1.7,2.72,3.53,4.26,5.0,5.08,5.24,5.82
2004-10-14,1.6,1.74,2.48,3.26,4.03,4.81,4.93,5.14,5.74
2004-10-21,1.64,1.85,2.57,3.29,4.01,4.76,4.84,5.07,5.69
2004-10-28,1.71,1.91,2.59,3.34,4.09,4.83,4.91,5.01,5.64
2004-11-04,1.85,1.98,2.63,3.37,4.1,4.82,4.89,5.08,5.7
2004-11-18,1.91,2.13,2.86,3.48,4.12,4.82,4.86,5.15,5.74
2004-11-24,1.98,2.18,3.01,3.61,4.2,4.85,4.89,5.15,5.72
2004-12-02,2.06,2.22,3.04,3.75,4.4,5.07,5.11,5.23,5.81
2004-12-09,2.07,2.24,2.93,3.54,4.19,4.84,4.88,5.14,5.71
2004-12-16,1.93,2.2,3.01,3.58,4.19,4.84,4.88,5.11,5.68
2004-12-22,1.84,2.18,3.04,3.57,4.21,4.85,4.86,5.18,5.75
2004-12-29,1.76,2.22,3.12,3.69,4.33,4.96,4.97,5.23,5.81
2005-01-06,2.04,2.31,3.18,3.71,4.29,4.88,4.89,5.21,5.77
2005-01-13,2.06,2.35,3.21,3.68,4.2,4.75,4.77,5.19,5.74
2005-01-20,1.89,2.35,3.21,3.68,4.17,4.7,4.71,5.15,5.67
2005-01-27,2.16,2.44,3.28,3.75,4.22,4.73,4.71,5.14,5.66
2005-02-03,2.18,2.48,3.34,3.76,4.18,4.64,4.58,5.14,5.63
2005-02-10,2.35,2.51,3.29,3.65,4.07,4.52,4.5,5.1,5.57
2005-02-17,2.4,2.58,3.38,3.78,4.19,4.65,4.58,5.14,5.62
2005-02-24,2.48,2.69,3.52,3.91,4.29,4.74,4.67,5.22,5.69
2005-03-03,2.55,2.76,3.59,4.02,4.39,4.82,4.71,5.33,5.79
2005-03-10,2.6,2.75,3.68,4.13,4.48,4.85,4.74,5.38,5.85
2005-03-17,2.68,2.79,3.7,4.14,4.47,4.87,4.75,5.47,5.95
2005-03-24,2.7,2.84,3.88,4.3,4.6,4.97,4.84,5.56,6.01
2005-03-31,2.63,2.79,3.8,4.18,4.5,4.88,4.76,5.58,6.04
2005-04-07,2.61,2.77,3.72,4.13,4.49,4.9,4.78,5.48,5.93
2005-04-14,2.62,2.78,3.6,3.99,4.37,4.8,4.73,5.46,5.91
2005-04-21,2.59,2.88,3.65,3.97,4.32,4.73,4.62,5.36,5.8
2005-04-28,2.6,2.88,3.59,3.85,4.19,4.6,4.52,5.33,5.78
2005-05-05,2.6,2.81,3.58,3.82,4.19,4.64,4.6,5.31,5.75
2005-05-12,2.58,2.88,3.66,3.87,4.18,4.59,4.54,5.33,5.77
2005-05-19,2.63,2.87,3.64,3.84,4.11,4.52,4.44,5.27,5.71
2005-05-26,2.77,2.94,3.64,3.82,4.08,4.49,4.45,5.21,5.65
2005-06-02,2.8,2.97,3.52,3.65,3.89,4.28,4.2,5.2,5.62
2005-06-09,2.81,2.99,3.64,3.76,3.98,4.31,4.23,5.14,5.56
2005-06-16,2.76,2.98,3.7,3.87,4.09,4.45,4.36,5.22,5.63
2005-06-23,2.79,3.07,3.63,3.74,3.96,4.32,4.27,5.16,5.57
2005-06-30,2.99,3.13,3.66,3.72,3.94,4.28,4.19,5.12,5.53
2005-07-07,3.0,3.15,3.71,3.83,4.05,4.37,4.28,5.2,5.62
2005-07-14,3.04,3.23,3.86,3.98,4.19,4.49,4.4,5.25,5.66
2005-07-21,3.13,3.35,3.96,4.09,4.28,4.58,4.48,5.32,5.73
2005-07-28,3.25,3.41,3.96,4.04,4.2,4.48,4.38,5.34,5.77
2005-08-04,3.34,3.47,4.04,4.15,4.32,4.6,4.5,5.38,5.82
2005-08-11,3.31,3.51,4.1,4.18,4.32,4.6,4.51,5.47,5.89
2005-08-18,3.3,3.5,4.01,4.08,4.21,4.48,4.4,5.4,5.8
2005-08-25,3.34,3.54,4.0,4.06,4.18,4.45,4.37,5.35,5.77
2005-09-01,3.35,3.48,3.72,3.85,4.02,4.31,4.28,5.32,5.71
2005-09-08,3.31,3.48,3.87,3.94,4.15,4.45,4.43,5.3,5.71
2005-09-15,3.23,3.45,3.9,3.99,4.22,4.56,4.51,5.32,5.74
2005-09-22,2.99,3.47,3.95,3.99,4.19,4.52,4.47,5.37,5.8
2005-09-29,3.09,3.54,4.13,4.14,4.29,4.59,4.5,5.48,5.91
2005-10-06,3.34,3.61,4.2,4.23,4.37,4.64,4.55,5.54,5.98
2005-10-13,3.5,3.75,4.24,4.32,4.48,4.77,4.66,5.62,6.03
2005-10-20,3.46,3.85,4.27,4.33,4.46,4.75,4.62,5.65,6.1
2005-10-27,3.72,3.88,4.36,4.43,4.57,4.84,4.74,5.69,6.15
2005-11-03,3.81,3.94,4.47,4.55,4.65,4.94,4.79,5.85,6.31
2005-11-10,3.89,3.97,4.44,4.49,4.55,4.85,4.74,5.89,6.36
2005-11-17,3.98,4.01,4.37,4.39,4.46,4.75,4.6,5.9,6.37
2005-11-23,3.94,3.95,4.36,4.38,4.47,4.8,4.7,5.81,6.28
2005-12-01,3.99,3.97,4.45,4.45,4.52,4.83,4.68,5.81,6.26
2005-12-08,3.67,3.94,4.37,4.36,4.47,4.75,4.62,5.87,6.32
2005-12-15,3.6,3.93,4.37,4.38,4.47,4.75,4.62,5.85,6.3
2005-12-22,3.55,3.98,4.4,4.38,4.44,4.69,4.59,5.79,6.26
2005-12-29,3.67,4.01,4.38,4.33,4.37,4.6,4.49,5.76,6.22
2006-01-05,4.05,4.2,4.32,4.29,4.36,4.61,4.51,5.76,6.21
2006-01-12,4.16,4.32,4.39,4.35,4.42,4.66,4.56,5.71,6.15
2006-01-19,3.98,4.35,4.37,4.31,4.38,4.61,4.51,5.67,6.1
2006-01-26,4.17,4.45,4.49,4.44,4.53,4.76,4.66,5.7,6.12
2006-02-02,4.32,4.48,4.59,4.51,4.57,4.76,4.68,5.81,6.23
2006-02-09,4.32,4.52,4.66,4.55,4.54,4.72,4.51,5.83,6.24
2006-02-16,4.38,4.55,4.69,4.59,4.59,4.77,4.57,5.91,6.28
2006-02-23,4.44,4.59,4.72,4.63,4.56,4.7,4.51,5.89,6.26
2006-03-02,4.45,4.62,4.72,4.68,4.64,4.8,4.62,5.89,6.24
2006-03-09,4.44,4.6,4.72,4.75,4.74,4.91,4.72,6.0,6.37
2006-03-16,4.49,4.62,4.62,4.6,4.65,4.86,4.7,5.98,6.34
2006-03-23,4.66,4.67,4.77,4.73,4.73,4.93,4.75,5.97,6.32
2006-03-30,4.67,4.61,4.84,4.83,4.86,5.07,4.89,6.0,6.35
2006-04-06,4.65,4.68,4.84,4.84,4.9,5.13,4.96,6.1,6.43
2006-04-13,4.54,4.7,4.96,4.97,5.05,5.28,5.11,6.14,6.49
2006-04-20,4.55,4.73,4.89,4.92,5.04,5.29,5.14,6.17,6.53
2006-04-27,4.64,4.78,4.91,4.95,5.09,5.32,5.18,6.21,6.58
2006-05-04,4.61,4.8,4.97,5.03,5.16,5.38,5.23,6.22,6.59
2006-05-11,4.64,4.82,4.99,5.04,5.14,5.38,5.23,6.17,6.58
2006-05-18,4.75,4.83,4.94,4.96,5.08,5.32,5.18,6.2,6.6
2006-05-25,4.74,4.82,4.98,4.97,5.07,5.31,5.17,6.23,6.62
2006-06-01,4.75,4.83,5.04,5.03,5.11,5.34,5.2,6.26,6.67
2006-06-08,4.78,4.87,5.01,4.95,5.0,5.2,5.06,6.23,6.62
2006-06-15,4.6,4.85,5.14,5.08,5.1,5.27,5.13,6.25,6.63
2006-06-22,4.55,4.92,5.23,5.18,5.2,5.37,5.23,6.36,6.71
2006-06-29,4.68,5.01,5.21,5.17,5.22,5.39,5.26,6.43,6.78
2006-07-06,4.8,5.0,5.22,5.15,5.19,5.35,5.23,6.44,6.79
2006-07-13,4.88,5.05,5.12,5.04,5.08,5.23,5.12,6.37,6.74
2006-07-20,4.87,5.08,5.06,4.98,5.03,5.2,5.08,6.41,6.8
2006-07-27,5.02,5.1,5.07,4.98,5.07,5.22,5.11,6.34,6.72
2006-08-03,5.18,5.11,4.98,4.9,4.96,5.13,5.04,6.27,6.63
2006-08-10,5.12,5.05,4.93,4.86,4.93,5.15,5.06,6.2,6.55
2006-08-17,5.15,5.09,4.89,4.82,4.87,5.08,5.0,6.2,6.52
2006-08-24,5.16,5.09,4.88,4.78,4.81,5.02,4.94,6.18,6.48
2006-08-31,5.12,5.05,4.79,4.7,4.74,4.95,4.88,6.14,6.44
2006-09-07,4.89,4.97,4.82,4.74,4.8,5.01,4.94,6.16,6.47
2006-09-14,4.81,4.95,4.83,4.74,4.79,4.99,4.92,6.11,6.43
2006-09-21,4.72,4.92,4.71,4.6,4.65,4.86,4.78,6.06,6.4
2006-09-28,4.53,4.87,4.68,4.57,4.63,4.84,4.76,5.98,6.31
2006-10-05,4.81,4.94,4.65,4.55,4.61,4.84,4.76,5.98,6.3
2006-10-12,4.93,5.06,4.85,4.74,4.79,4.99,4.91,6.06,6.37
2006-10-19,5.02,5.1,4.85,4.75,4.79,4.99,4.91,6.06,6.36
2006-10-26,5.16,5.12,4.81,4.69,4.73,4.93,4.84,6.1,6.4
2006-11-02,5.18,5.07,4.67,4.55,4.6,4.8,4.72,6.02,6.31
2006-11-09,5.19,5.09,4.75,4.6,4.62,4.82,4.73,6.04,6.33
2006-11-16,5.22,5.09,4.85,4.67,4.66,4.84,4.74,5.94,6.24
2006-11-22,5.25,5.05,4.74,4.57,4.57,4.76,4.65,5.91,6.18
2006-11-30,5.22,5.03,4.62,4.45,4.46,4.66,4.56,5.87,6.14
2006-12-07,4.92,4.98,4.58,4.45,4.49,4.7,4.6,5.84,6.11
2006-12-14,4.87,4.96,4.73,4.58,4.6,4.81,4.72,5.86,6.12
2006-12-21,4.84,4.97,4.66,4.52,4.55,4.78,4.7,5.89,6.13
2006-12-28,4.74,5.0,4.82,4.69,4.7,4.9,4.81,5.93,6.18
2007-01-04,4.8,5.04,4.71,4.61,4.62,4.81,4.72,5.94,6.18
2007-01-11,4.99,5.11,4.86,4.73,4.74,4.92,4.82,5.96,6.21
2007-01-18,4.97,5.12,4.89,4.75,4.75,4.94,4.85,5.98,6.23
2007-01-25,4.97,5.14,4.98,4.85,4.87,5.06,4.96,5.98,6.25
2007-02-01,4.99,5.13,4.96,4.84,4.84,5.02,4.93,6.06,6.34
2007-02-08,5.15,5.16,4.87,4.73,4.73,4.93,4.81,6.02,6.28
2007-02-15,5.23,5.17,4.83,4.68,4.7,4.91,4.81,6.03,6.3
2007-02-22,5.26,5.19,4.87,4.72,4.73,4.94,4.83,5.97,6.22
2007-03-01,5.25,5.15,4.63,4.5,4.56,4.78,4.68,5.92,6.18
2007-03-08,5.24,5.1,4.56,4.45,4.51,4.74,4.65,5.86,6.14
2007-03-15,5.21,5.05,4.57,4.46,4.54,4.78,4.69,5.88,6.14
2007-03-22,5.23,5.06,4.58,4.49,4.6,4.86,4.78,5.9,6.16
2007-03-29,5.05,5.05,4.58,4.53,4.64,4.9,4.83,5.86,6.16
2007-04-05,5.1,5.04,4.63,4.57,4.68,4.95,4.87,5.87,6.17
2007-04-12,5.0,5.03,4.73,4.66,4.74,4.99,4.91,5.9,6.22
2007-04-19,4.93,4.99,4.64,4.57,4.68,4.92,4.84,5.89,6.17
2007-04-26,4.91,4.96,4.67,4.59,4.69,4.95,4.87,5.87,6.16
2007-05-03,4.74,4.9,4.71,4.59,4.68,4.91,4.84,5.87,6.16
2007-05-10,4.77,4.87,4.7,4.56,4.65,4.9,4.83,5.87,6.15
2007-05-17,4.8,4.81,4.78,4.68,4.76,4.99,4.91,5.92,6.21
